slug,name,modality,level,force,mechanic,equipment,primary_muscles,secondary_muscles,rest_seconds,source
stair-run,Stair Run,cardio,intermediate,push,compound,body only,quadriceps; glutes,calves; hamstrings,90,original
stairmaster,Stairmaster,cardio,intermediate,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
step-mill,Step Mill,cardio,intermediate,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
swimming-freestyle,"Swimming, Freestyle",cardio,intermediate,pull,compound,other,lats; shoulders,triceps; abdominals; quadriceps; glutes,60,original
trail-running-walking,Trail Running/Walking,cardio,beginner,,,,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
walking-treadmill,"Walking, Treadmill",cardio,beginner,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
assault-bike-intervals,Assault Bike Intervals,hiit,intermediate,push,compound,air bike,quadriceps; shoulders,hamstrings; calves; chest; biceps,90,original
battle-rope-alternating-waves,Battle Rope Alternating Waves,hiit,intermediate,pull,compound,battle ropes,shoulders; forearms,biceps; abdominals; lats,60,original
battle-rope-slams,Battle Rope Slams,hiit,intermediate,pull,compound,battle ropes,shoulders; lats,abdominals; forearms; quadriceps,60,original
bear-crawl,Bear Crawl,hiit,beginner,push,compound,body only,shoulders; abdominals,quadriceps; triceps; glutes,45,original
burpee,Burpee,hiit,intermediate,push,compound,body only,quadriceps; chest,shoulders; triceps; abdominals; glutes; calves,45,original
crab-walk,Crab Walk,hiit,beginner,push,compound,body only,triceps; glutes,shoulders; hamstrings; abdominals,45,original
devil-press,Devil Press,hiit,expert,push,compound,dumbbell,shoulders; quadriceps,chest; glutes; hamstrings; abdominals,90,original
man-maker,Man Maker,hiit,expert,push,compound,dumbbell,shoulders; lats,chest; quadriceps; glutes; abdominals; triceps,120,original
plank-jacks,Plank Jacks,hiit,beginner,static,compound,body only,abdominals,shoulders; glutes; abductors,30,original
rowing-sprint-intervals,Rowing Sprint Intervals,hiit,intermediate,pull,compound,rowing machine,lats; quadriceps,middle back; hamstrings; glutes; biceps; abdominals,90,original
sprawl,Sprawl,hiit,intermediate,push,compound,body only,quadriceps; abdominals,chest; shoulders; glutes,45,original
squat-thrust-half-burpee,Squat Thrust (Half Burpee),hiit,beginner,push,compound,body only,quadriceps; abdominals,shoulders; glutes; hamstrings,30,original
wall-ball-shot,Wall Ball Shot,hiit,intermediate,push,compound,medicine ball,quadriceps; shoulders,glutes; triceps; abdominals,60,original
90-90-hip-switch,90/90 Hip Switch,mobility,beginner,static,isolation,body only,abductors; glutes,adductors,15,original
band-shoulder-dislocates,Band Shoulder Dislocates,mobility,beginner,static,isolation,bands,shoulders,chest; traps,15,original
cat-cow,Cat-Cow,mobility,beginner,static,isolation,body only,lower back,abdominals; neck,10,original
cossack-squat,Cossack Squat,mobility,intermediate,push,compound,body only,adductors; quadriceps,hamstrings; glutes; calves,30,original
couch-stretch,Couch Stretch,mobility,beginner,static,isolation,body only,quadriceps,glutes; abdominals,15,original
downward-dog-to-cobra,Downward Dog to Cobra,mobility,beginner,static,compound,body only,hamstrings; shoulders,calves; lower back; abdominals; chest,10,original
jefferson-curl,Jefferson Curl,mobility,intermediate,pull,compound,dumbbell,hamstrings; lower back,middle back; glutes,30,original
open-book-thoracic-rotation,Open Book Thoracic Rotation,mobility,beginner,static,isolation,body only,middle back,shoulders; chest,10,original
wall-angels,Wall Angels,mobility,beginner,pull,isolation,body only,shoulders; middle back,traps; neck,20,original
clean,Clean,olympic_weightlifting,intermediate,pull,compound,barbell,hamstrings,calves; forearms; glutes; lower back; quadriceps; shoulders; traps,120,free-exercise-db
clean-and-jerk,Clean and Jerk,olympic_weightlifting,expert,push,compound,barbell,shoulders,abdominals; glutes; hamstrings; lower back; quadriceps; traps; triceps,120,free-exercise-db
clean-deadlift,Clean Deadlift,olympic_weightlifting,beginner,pull,compound,barbell,hamstrings,forearms; glutes; lower back; middle back; quadriceps; traps,120,free-exercise-db
clean-from-blocks,Clean from Blocks,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,calves; glutes; hamstrings; shoulders; traps,120,free-exercise-db
clean-pull,Clean Pull,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,forearms; glutes; hamstrings; lower back; traps,120,free-exercise-db
clean-shrug,Clean Shrug,olympic_weightlifting,beginner,pull,compound,barbell,traps,forearms; shoulders,120,free-exercise-db
frankenstein-squat,Frankenstein Squat,olympic_weightlifting,intermediate,push,compound,barbell,quadriceps,abdominals; calves; glutes; hamstrings,120,free-exercise-db
hang-clean,Hang Clean,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps,120,free-exercise-db
hang-clean-below-the-knees,Hang Clean - Below the Knees,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps,120,free-exercise-db
hang-snatch,Hang Snatch,olympic_weightlifting,expert,pull,compound,barbell,hamstrings,abdominals; calves; forearms; glutes; lower back; quadriceps; shoulders; traps,120,free-exercise-db
hang-snatch-below-knees,Hang Snatch - Below Knees,olympic_weightlifting,expert,pull,compound,barbell,hamstrings,abdominals; calves; forearms; glutes; lower back; quadriceps; shoulders; traps,120,free-exercise-db
heaving-snatch-balance,Heaving Snatch Balance,olympic_weightlifting,intermediate,push,compound,barbell,quadriceps,abdominals; forearms; glutes; hamstrings; shoulders; triceps,120,free-exercise-db
jerk-balance,Jerk Balance,olympic_weightlifting,intermediate,push,compound,barbell,shoulders,glutes; hamstrings; quadriceps; triceps,120,free-exercise-db
jerk-dip-squat,Jerk Dip Squat,olympic_weightlifting,intermediate,push,compound,barbell,quadriceps,abdominals; calves,120,free-exercise-db
kneeling-jump-squat,Kneeling Jump Squat,olympic_weightlifting,expert,push,compound,barbell,glutes,calves; hamstrings; quadriceps,120,free-exercise-db
muscle-snatch,Muscle Snatch,olympic_weightlifting,intermediate,pull,compound,barbell,hamstrings,glutes; lower back; quadriceps; shoulders; triceps,120,free-exercise-db
olympic-squat,Olympic Squat,olympic_weightlifting,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings,120,free-exercise-db
overhead-squat,Overhead Squat,olympic_weightlifting,expert,push,compound,barbell,quadriceps,abdominals; calves; glutes; hamstrings; lower back; shoulders; triceps,120,free-exercise-db
power-clean-from-blocks,Power Clean from Blocks,olympic_weightlifting,intermediate,pull,compound,barbell,hamstrings,quadriceps,120,free-exercise-db
power-jerk,Power Jerk,olympic_weightlifting,expert,push,compound,barbell,quadriceps,abdominals; calves; glutes; hamstrings; shoulders; triceps,120,free-exercise-db
power-snatch,Power Snatch,olympic_weightlifting,expert,pull,compound,barbell,hamstrings,calves; glutes; lower back; quadriceps; shoulders; traps; triceps,120,free-exercise-db
power-snatch-from-blocks,Power Snatch from Blocks,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps; triceps,120,free-exercise-db
push-press,Push Press,olympic_weightlifting,expert,push,compound,barbell,shoulders,quadriceps; triceps,120,free-exercise-db
push-press-behind-the-neck,Push Press - Behind the Neck,olympic_weightlifting,intermediate,push,compound,barbell,shoulders,calves; quadriceps; triceps,120,free-exercise-db
rack-delivery,Rack Delivery,olympic_weightlifting,intermediate,pull,compound,barbell,shoulders,forearms; traps,120,free-exercise-db
romanian-deadlift-from-deficit,Romanian Deadlift from Deficit,olympic_weightlifting,intermediate,pull,compound,barbell,hamstrings,forearms; glutes; lower back; traps,120,free-exercise-db
snatch,Snatch,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,biceps; glutes; hamstrings; lower back; shoulders; traps; triceps,120,free-exercise-db
snatch-balance,Snatch Balance,olympic_weightlifting,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; shoulders; triceps,120,free-exercise-db
snatch-deadlift,Snatch Deadlift,olympic_weightlifting,intermediate,pull,compound,barbell,hamstrings,forearms; glutes; hamstrings; lower back; quadriceps; traps,120,free-exercise-db
snatch-from-blocks,Snatch from Blocks,olympic_weightlifting,expert,pull,compound,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps; triceps,120,free-exercise-db
snatch-shrug,Snatch Shrug,olympic_weightlifting,intermediate,pull,compound,barbell,traps,forearms; shoulders,120,free-exercise-db
split-clean,Split Clean,olympic_weightlifting,intermediate,pull,compound,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps,120,free-exercise-db
split-jerk,Split Jerk,olympic_weightlifting,intermediate,push,compound,barbell,quadriceps,glutes; hamstrings; shoulders; triceps,120,free-exercise-db
split-snatch,Split Snatch,olympic_weightlifting,expert,pull,compound,barbell,hamstrings,calves; forearms; glutes; hamstrings; lower back; quadriceps; shoulders; traps; triceps,120,free-exercise-db
wide-stance-stiff-legs,Wide Stance Stiff Legs,olympic_weightlifting,intermediate,pull,compound,barbell,hamstrings,adductors; glutes; lower back,120,free-exercise-db
alternate-leg-diagonal-bound,Alternate Leg Diagonal Bound,plyometrics,beginner,push,compound,,quadriceps,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
alternating-jump-lunges,Alternating Jump Lunges,plyometrics,intermediate,push,compound,body only,quadriceps; glutes,hamstrings; calves; abdominals,60,original
backward-medicine-ball-throw,Backward Medicine Ball Throw,plyometrics,beginner,push,compound,medicine ball,shoulders,,60,free-exercise-db
bench-jump,Bench Jump,plyometrics,intermediate,push,compound,body only,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
bench-sprint,Bench Sprint,plyometrics,beginner,push,compound,other,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
box-jump-multiple-response,Box Jump (Multiple Response),plyometrics,beginner,push,compound,other,hamstrings,abductors; adductors; calves; glutes; quadriceps,60,free-exercise-db
box-skip,Box Skip,plyometrics,beginner,push,compound,other,hamstrings,abductors; adductors; calves; glutes; quadriceps,60,free-exercise-db
carioca-quick-step,Carioca Quick Step,plyometrics,beginner,,,,adductors,abdominals; abductors; calves; glutes; hamstrings; quadriceps,60,free-exercise-db
catch-and-overhead-throw,Catch and Overhead Throw,plyometrics,beginner,push,compound,medicine ball,lats,abdominals; chest; shoulders,60,free-exercise-db
chest-push-from-3-point-stance,Chest Push from 3 point stance,plyometrics,beginner,push,compound,medicine ball,chest,abdominals; shoulders; triceps,60,free-exercise-db
chest-push-multiple-response,Chest Push (multiple response),plyometrics,beginner,push,compound,medicine ball,chest,abdominals; shoulders; triceps,60,free-exercise-db
chest-push-single-response,Chest Push (single response),plyometrics,beginner,push,compound,medicine ball,chest,abdominals; shoulders; triceps,60,free-exercise-db
chest-push-with-run-release,Chest Push with Run Release,plyometrics,beginner,push,compound,medicine ball,chest,abdominals; shoulders; triceps,60,free-exercise-db
depth-jump-leap,Depth Jump Leap,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
double-leg-butt-kick,Double Leg Butt Kick,plyometrics,beginner,push,compound,body only,quadriceps,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
drop-push,Drop Push,plyometrics,intermediate,push,compound,other,chest,shoulders; triceps,60,free-exercise-db
dumbbell-seated-box-jump,Dumbbell Seated Box Jump,plyometrics,intermediate,push,compound,dumbbell,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
fast-skipping,Fast Skipping,plyometrics,beginner,push,compound,body only,quadriceps,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
front-box-jump,Front Box Jump,plyometrics,beginner,push,compound,other,hamstrings,abductors; adductors; calves; glutes; quadriceps,60,free-exercise-db
front-cone-hops-or-hurdle-hops,Front Cone Hops (or hurdle hops),plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
heavy-bag-thrust,Heavy Bag Thrust,plyometrics,beginner,push,compound,other,chest,abdominals; shoulders; triceps,60,free-exercise-db
hurdle-hops,Hurdle Hops,plyometrics,beginner,push,compound,other,hamstrings,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
incline-push-up-depth-jump,Incline Push-Up Depth Jump,plyometrics,beginner,push,compound,other,chest,shoulders; triceps,60,free-exercise-db
isometric-chest-squeezes,Isometric Chest Squeezes,plyometrics,beginner,static,compound,body only,chest,shoulders; triceps,60,free-exercise-db
knee-tuck-jump,Knee Tuck Jump,plyometrics,beginner,push,compound,body only,hamstrings,abductors; adductors; calves; glutes; quadriceps,60,free-exercise-db
kneeling-arm-drill,Kneeling Arm Drill,plyometrics,beginner,pull,,,shoulders,abdominals,60,free-exercise-db
lateral-bound,Lateral Bound,plyometrics,beginner,push,compound,body only,adductors,abductors; calves; glutes; hamstrings; quadriceps,60,free-exercise-db
lateral-box-jump,Lateral Box Jump,plyometrics,beginner,push,compound,other,adductors,abductors; calves; glutes; hamstrings; quadriceps,60,free-exercise-db
lateral-cone-hops,Lateral Cone Hops,plyometrics,beginner,push,compound,other,adductors,abductors; calves; glutes; hamstrings; quadriceps,60,free-exercise-db
linear-3-part-start-technique,Linear 3-Part Start Technique,plyometrics,beginner,push,compound,,hamstrings,calves; quadriceps,60,free-exercise-db
linear-acceleration-wall-drill,Linear Acceleration Wall Drill,plyometrics,beginner,,compound,,hamstrings,calves; glutes; quadriceps,60,free-exercise-db
linear-depth-jump,Linear Depth Jump,plyometrics,intermediate,push,compound,other,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
medicine-ball-chest-pass,Medicine Ball Chest Pass,plyometrics,beginner,push,compound,medicine ball,chest,shoulders; triceps,60,free-exercise-db
medicine-ball-full-twist,Medicine Ball Full Twist,plyometrics,beginner,pull,compound,medicine ball,abdominals,shoulders,60,free-exercise-db
medicine-ball-scoop-throw,Medicine Ball Scoop Throw,plyometrics,beginner,push,compound,medicine ball,shoulders,abdominals; hamstrings; quadriceps,60,free-exercise-db
mountain-climbers,Mountain Climbers,plyometrics,beginner,pull,compound,,quadriceps,chest; hamstrings; shoulders,60,free-exercise-db
moving-claw-series,Moving Claw Series,plyometrics,beginner,,compound,,hamstrings,calves; quadriceps,60,free-exercise-db
overhead-slam,Overhead Slam,plyometrics,beginner,pull,compound,medicine ball,lats,,60,free-exercise-db
plyo-push-up,Plyo Push-up,plyometrics,beginner,push,compound,body only,chest,shoulders; triceps,60,free-exercise-db
pogo-hops,Pogo Hops,plyometrics,beginner,push,isolation,body only,calves,quadriceps; abdominals,30,original
quick-leap,Quick Leap,plyometrics,beginner,push,compound,other,quadriceps,calves; hamstrings,60,free-exercise-db
return-push-from-stance,Return Push from Stance,plyometrics,beginner,push,compound,medicine ball,shoulders,chest; triceps,60,free-exercise-db
rocket-jump,Rocket Jump,plyometrics,beginner,push,compound,body only,quadriceps,calves; hamstrings,60,free-exercise-db
scissors-jump,Scissors Jump,plyometrics,beginner,push,compound,body only,quadriceps,glutes; hamstrings,60,free-exercise-db
side-hop-sprint,Side Hop-Sprint,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; hamstrings,60,free-exercise-db
side-standing-long-jump,Side Standing Long Jump,plyometrics,beginner,push,compound,,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
side-to-side-box-shuffle,Side to Side Box Shuffle,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; hamstrings,60,free-exercise-db
single-cone-sprint-drill,Single-Cone Sprint Drill,plyometrics,beginner,push,,other,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
single-leg-butt-kick,Single Leg Butt Kick,plyometrics,beginner,push,compound,body only,quadriceps,calves; hamstrings,60,free-exercise-db
single-leg-hop-progression,Single-Leg Hop Progression,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; hamstrings,60,free-exercise-db
single-leg-lateral-hop,Single-Leg Lateral Hop,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; hamstrings,60,free-exercise-db
single-leg-push-off,Single Leg Push-off,plyometrics,beginner,push,compound,other,quadriceps,calves; hamstrings,60,free-exercise-db
single-leg-stride-jump,Single-Leg Stride Jump,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; hamstrings,60,free-exercise-db
skater-jumps,Skater Jumps,plyometrics,intermediate,push,compound,body only,quadriceps; glutes,abductors; adductors; calves; abdominals,45,original
sledgehammer-swings,Sledgehammer Swings,plyometrics,beginner,pull,compound,other,abdominals,calves; forearms; lats; middle back; shoulders,60,free-exercise-db
split-jump,Split Jump,plyometrics,beginner,push,compound,body only,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
standing-long-jump,Standing Long Jump,plyometrics,beginner,push,compound,body only,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
standing-two-arm-overhead-throw,Standing Two-Arm Overhead Throw,plyometrics,beginner,pull,compound,medicine ball,shoulders,chest; lats,60,free-exercise-db
star-jump,Star Jump,plyometrics,beginner,push,compound,body only,quadriceps,calves; glutes; hamstrings; shoulders,60,free-exercise-db
stride-jump-crossover,Stride Jump Crossover,plyometrics,beginner,push,compound,other,quadriceps,abductors; adductors; calves; hamstrings,60,free-exercise-db
supine-chest-throw,Supine Chest Throw,plyometrics,beginner,push,compound,medicine ball,triceps,chest; shoulders,60,free-exercise-db
supine-one-arm-overhead-throw,Supine One-Arm Overhead Throw,plyometrics,beginner,pull,compound,medicine ball,abdominals,chest; lats; shoulders,60,free-exercise-db
supine-two-arm-overhead-throw,Supine Two-Arm Overhead Throw,plyometrics,beginner,pull,compound,medicine ball,abdominals,chest; lats; shoulders,60,free-exercise-db
vertical-swing,Vertical Swing,plyometrics,beginner,pull,compound,dumbbell,hamstrings,glutes; quadriceps; shoulders,60,free-exercise-db
band-good-morning,Band Good Morning,powerlifting,beginner,pull,compound,bands,hamstrings,glutes; lower back,150,free-exercise-db
band-good-morning-pull-through,Band Good Morning (Pull Through),powerlifting,beginner,pull,compound,bands,hamstrings,glutes; lower back,150,free-exercise-db
barbell-glute-bridge,Barbell Glute Bridge,powerlifting,intermediate,push,compound,barbell,glutes,calves; hamstrings,150,free-exercise-db
barbell-hip-thrust,Barbell Hip Thrust,powerlifting,intermediate,push,compound,barbell,glutes,calves; hamstrings,150,free-exercise-db
bench-press-powerlifting,Bench Press - Powerlifting,powerlifting,intermediate,push,compound,barbell,triceps,chest; forearms; lats; shoulders,150,free-exercise-db
bench-press-with-chains,Bench Press with Chains,powerlifting,expert,push,compound,barbell,triceps,chest; lats; shoulders,150,free-exercise-db
board-press,Board Press,powerlifting,intermediate,push,compound,barbell,triceps,chest; forearms; lats; shoulders,150,free-exercise-db
box-squat,Box Squat,powerlifting,intermediate,push,compound,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back,150,free-exercise-db
box-squat-with-bands,Box Squat with Bands,powerlifting,expert,push,compound,barbell,quadriceps,abductors; adductors; calves; glutes; hamstrings; lower back,150,free-exercise-db
chain-handle-extension,Chain Handle Extension,powerlifting,intermediate,push,isolation,other,triceps,,150,free-exercise-db
chain-press,Chain Press,powerlifting,intermediate,push,compound,other,chest,shoulders; triceps,150,free-exercise-db
deadlift-with-bands,Deadlift with Bands,powerlifting,expert,pull,compound,barbell,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps,150,free-exercise-db
deadlift-with-chains,Deadlift with Chains,powerlifting,expert,pull,compound,barbell,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps,150,free-exercise-db
deficit-deadlift,Deficit Deadlift,powerlifting,intermediate,pull,compound,barbell,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps,150,free-exercise-db
dumbbell-floor-press,Dumbbell Floor Press,powerlifting,intermediate,push,compound,dumbbell,triceps,chest; shoulders,150,free-exercise-db
floor-press,Floor Press,powerlifting,intermediate,push,compound,barbell,triceps,chest; shoulders,150,free-exercise-db
floor-press-with-chains,Floor Press with Chains,powerlifting,intermediate,push,compound,barbell,triceps,chest; shoulders,150,free-exercise-db
glute-ham-raise,Glute Ham Raise,powerlifting,intermediate,pull,compound,machine,hamstrings,calves; glutes,150,free-exercise-db
good-morning,Good Morning,powerlifting,intermediate,push,compound,barbell,hamstrings,abdominals; glutes; lower back,150,free-exercise-db
good-morning-off-pins,Good Morning off Pins,powerlifting,intermediate,push,compound,barbell,hamstrings,abdominals; glutes; lower back,150,free-exercise-db
hanging-bar-good-morning,Hanging Bar Good Morning,powerlifting,intermediate,push,compound,barbell,hamstrings,abdominals; glutes; lower back,150,free-exercise-db
hip-lift-with-band,Hip Lift with Band,powerlifting,beginner,push,compound,bands,glutes,calves; hamstrings,150,free-exercise-db
kneeling-squat,Kneeling Squat,powerlifting,intermediate,push,compound,barbell,glutes,abdominals; hamstrings; lower back,150,free-exercise-db
pin-presses,Pin Presses,powerlifting,intermediate,push,compound,barbell,triceps,chest; forearms; lats; middle back; shoulders,150,free-exercise-db
rack-pull-with-bands,Rack Pull with Bands,powerlifting,intermediate,pull,compound,barbell,lower back,forearms; glutes; hamstrings; quadriceps; traps,150,free-exercise-db
rack-pulls,Rack Pulls,powerlifting,intermediate,pull,compound,barbell,lower back,forearms; glutes; hamstrings; traps,150,free-exercise-db
reverse-band-bench-press,Reverse Band Bench Press,powerlifting,intermediate,push,compound,barbell,triceps,chest; forearms; lats; middle back; shoulders,150,free-exercise-db
reverse-band-box-squat,Reverse Band Box Squat,powerlifting,intermediate,push,compound,barbell,quadriceps,abductors; adductors; calves; forearms; glutes; hamstrings; lower back,150,free-exercise-db
reverse-band-deadlift,Reverse Band Deadlift,powerlifting,expert,pull,compound,barbell,lower back,abductors; adductors; calves; glutes; hamstrings; quadriceps,150,free-exercise-db
reverse-band-power-squat,Reverse Band Power Squat,powerlifting,expert,push,compound,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back,150,free-exercise-db
reverse-band-sumo-deadlift,Reverse Band Sumo Deadlift,powerlifting,expert,pull,compound,barbell,hamstrings,abductors; adductors; calves; forearms; glutes; lower back; quadriceps; traps,150,free-exercise-db
seated-good-mornings,Seated Good Mornings,powerlifting,intermediate,pull,compound,barbell,lower back,glutes,150,free-exercise-db
speed-box-squat,Speed Box Squat,powerlifting,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings,150,free-exercise-db
squat-with-bands,Squat with Bands,powerlifting,intermediate,push,compound,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back,150,free-exercise-db
squat-with-chains,Squat with Chains,powerlifting,intermediate,push,compound,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back,150,free-exercise-db
sumo-deadlift,Sumo Deadlift,powerlifting,intermediate,pull,compound,barbell,hamstrings,adductors; forearms; glutes; lower back; middle back; quadriceps; traps,150,free-exercise-db
sumo-deadlift-with-bands,Sumo Deadlift with Bands,powerlifting,intermediate,pull,compound,barbell,hamstrings,adductors; forearms; glutes; lower back; middle back; quadriceps; traps,150,free-exercise-db
sumo-deadlift-with-chains,Sumo Deadlift with Chains,powerlifting,intermediate,pull,compound,barbell,hamstrings,abductors; adductors; forearms; glutes; lower back; middle back; quadriceps; traps,150,free-exercise-db
3-4-sit-up,3/4 Sit-Up,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
ab-crunch-machine,Ab Crunch Machine,strength,intermediate,pull,isolation,machine,abdominals,,90,free-exercise-db
ab-roller,Ab Roller,strength,intermediate,pull,compound,other,abdominals,shoulders,90,free-exercise-db
advanced-kettlebell-windmill,Advanced Kettlebell Windmill,strength,intermediate,push,isolation,kettlebells,abdominals,glutes; hamstrings; shoulders,90,free-exercise-db
air-bike,Air Bike,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
alternate-hammer-curl,Alternate Hammer Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
alternate-heel-touchers,Alternate Heel Touchers,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
alternate-incline-dumbbell-curl,Alternate Incline Dumbbell Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
alternating-cable-shoulder-press,Alternating Cable Shoulder Press,strength,beginner,push,compound,cable,shoulders,triceps,90,free-exercise-db
alternating-deltoid-raise,Alternating Deltoid Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
alternating-floor-press,Alternating Floor Press,strength,beginner,push,compound,kettlebells,chest,abdominals; shoulders; triceps,90,free-exercise-db
alternating-hang-clean,Alternating Hang Clean,strength,intermediate,pull,compound,kettlebells,hamstrings,biceps; calves; forearms; glutes; lower back; traps,90,free-exercise-db
alternating-kettlebell-press,Alternating Kettlebell Press,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
alternating-kettlebell-row,Alternating Kettlebell Row,strength,intermediate,pull,isolation,kettlebells,middle back,biceps; lats,90,free-exercise-db
alternating-renegade-row,Alternating Renegade Row,strength,expert,pull,compound,kettlebells,middle back,abdominals; biceps; chest; lats; triceps,90,free-exercise-db
anti-gravity-press,Anti-Gravity Press,strength,beginner,push,compound,barbell,shoulders,middle back; traps; triceps,90,free-exercise-db
arnold-dumbbell-press,Arnold Dumbbell Press,strength,intermediate,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
